Steps,Policy/Entropy,Environment/Episode Length,Policy/Extrinsic Value Estimate,Environment/Cumulative Reward,Policy/Extrinsic Reward,Losses/Value Loss,Losses/Policy Loss,Policy/Learning Rate,Policy/Epsilon,Policy/Beta,Is Training
12000,1.418251,24.465324384787472,-0.32489938,-0.8222093173237734,-0.8222093173237734,0.3025718,0.014837416,0.00029999643,0.19999881,0.0009999883,1.0
24000,1.4162098,31.17183098591549,-0.66912913,-0.8164204752326689,-0.8164204752326689,0.086827874,0.013901052,0.0002999893,0.19999643,0.0009999647,1.0
36000,1.4146113,35.017341040462426,-0.71916544,-0.8007492971169072,-0.8007492971169072,0.068919405,0.013386434,0.00029998185,0.19999394,0.0009999401,1.0
48000,1.4140375,40.026923076923076,-0.6414509,-0.7389694868892659,-0.7389694868892659,0.08041012,0.014062704,0.000299975,0.19999167,0.0009999174,1.0
60000,1.4118129,62.3739837398374,-0.43486148,-0.6823256100535162,-0.6823256100535162,0.09813615,0.015157982,0.0002999679,0.1999893,0.0009998942,1.0
72000,1.4084486,142.80645161290323,-0.13256703,-0.24296881645568646,-0.24296881645568646,0.12320716,0.013758954,0.00029996075,0.19998692,0.0009998705,1.0
84000,1.4050382,138.89473684210526,-0.0051886826,-0.24372100193313387,-0.24372100193313387,0.11747306,0.013376258,0.0002999532,0.1999844,0.0009998456,1.0
96000,1.4030054,198.54166666666666,0.4162072,0.12279990434646607,0.12279990434646607,0.13032226,0.0150905615,0.00029994588,0.19998194,0.0009998215,1.0
108000,1.4021547,284.75,0.34293026,0.6760867963666501,0.6760867963666501,0.12839207,0.013617986,0.00029993878,0.19997959,0.000999798,1.0
120000,1.4007249,406.1363636363636,0.3453443,1.9112497959285975,1.9112497959285975,0.12552075,0.020477487,0.00029993124,0.19997708,0.0009997732,1.0
132000,1.3995614,488.45454545454544,0.5793239,1.7091664869027834,1.7091664869027834,0.090776645,0.018953847,0.00029992408,0.19997467,0.0009997494,1.0
144000,1.3995622,474.06666666666666,0.5212372,2.699374701711349,2.699374701711349,0.09712034,0.015545455,0.00029991713,0.19997238,0.0009997265,1.0
156000,1.3992279,657.8148148148148,0.64219725,4.506363246251237,4.506363246251237,0.11106626,0.021682974,0.0002999098,0.19996993,0.0009997023,1.0
168000,1.3982772,706.8571428571429,0.7048667,5.895651628465756,5.895651628465756,0.09487259,0.015335458,0.0002999025,0.1999675,0.0009996783,1.0
180000,1.3975582,700.6153846153846,0.7620955,5.306249457411468,5.306249457411468,0.0633066,0.017899089,0.00029989553,0.19996518,0.0009996552,1.0
192000,1.3973974,647.5263157894736,0.74245554,4.502856771860804,4.502856771860804,0.075962506,0.012929332,0.00029988852,0.19996284,0.0009996321,1.0
204000,1.3973151,863.8181818181819,0.83517456,7.524166052540143,7.524166052540143,0.080725476,0.01693763,0.00029988162,0.19996054,0.0009996094,1.0
216000,1.3970068,780.4117647058823,0.80052775,6.185293593827416,6.185293593827416,0.0602166,0.012622493,0.00029987397,0.19995797,0.000999584,1.0
228000,1.3968743,939.3333333333334,0.87341744,8.234999269247055,8.234999269247055,0.06317354,0.019004894,0.0002998663,0.19995542,0.0009995588,1.0
240000,1.3966627,724.2857142857143,1.0384977,6.018571027687618,6.018571027687618,0.087729655,0.013649535,0.0002998592,0.19995308,0.0009995353,1.0
252000,1.3965027,798.9444444444445,1.0115417,7.973683573697743,7.973683573697743,0.07739557,0.01839502,0.00029985214,0.19995071,0.0009995119,1.0
264000,1.3961599,886.7368421052631,0.859454,8.653528627227335,8.653528627227335,0.0555968,0.02044729,0.0002998451,0.19994836,0.0009994888,1.0
276000,1.3961775,917.3333333333334,0.98667854,10.019999121626219,10.019999121626219,0.061807975,0.016831098,0.00029983794,0.19994599,0.0009994652,1.0
288000,1.3967038,999.0,1.0659443,8.428749345242977,8.428749345242977,0.041617017,0.016329253,0.00029983078,0.19994359,0.0009994416,1.0
300000,1.3978765,903.8666666666667,1.0315177,9.583749225363135,9.583749225363135,0.06559238,0.016561838,0.00029982362,0.1999412,0.000999418,1.0
312000,1.3983773,887.2105263157895,1.0948339,8.852352254530963,8.852352254530963,0.08200192,0.021696314,0.00029981646,0.19993882,0.0009993943,1.0
324000,1.3984326,866.5714285714286,1.0777066,8.190666015942892,8.190666015942892,0.07042393,0.015717497,0.00029980944,0.1999365,0.0009993712,1.0
336000,1.3978668,673.4444444444445,1.06519,7.5490904667160725,7.5490904667160725,0.06020176,0.013246381,0.0002998023,0.19993411,0.0009993477,1.0
348000,1.3974512,860.2727272727273,1.1800296,9.267999243736266,9.267999243736266,0.08581916,0.017674362,0.00029979527,0.19993176,0.0009993244,1.0
360000,1.3979574,945.625,1.1199324,10.678665856520334,10.678665856520334,0.06036135,0.019437099,0.00029978817,0.1999294,0.0009993011,1.0
372000,1.3993547,828.3888888888889,0.97761434,9.251110212670433,9.251110212670433,0.07040764,0.013164009,0.00029978045,0.19992682,0.0009992755,1.0
384000,1.3999115,999.0,1.0960822,10.432498998939991,10.432498998939991,0.04314192,0.01734589,0.00029977277,0.19992428,0.0009992501,1.0
396000,1.4002087,867.5,1.0312667,8.920666019121805,8.920666019121805,0.057764594,0.018259777,0.00029976558,0.19992186,0.0009992264,1.0
408000,1.3998853,938.125,1.0857738,9.97714193378176,9.97714193378176,0.056782167,0.013198551,0.0002997585,0.1999195,0.0009992031,1.0
420000,1.3994594,903.2777777777778,1.1164085,10.613528539152707,10.613528539152707,0.03754918,0.014761264,0.00029975135,0.19991712,0.0009991796,1.0
432000,1.3990761,668.125,1.0254565,7.802499348918597,7.802499348918597,0.074246846,0.01645262,0.0002997443,0.19991475,0.0009991563,1.0
444000,1.3993105,987.0,1.1816814,10.358332713445028,10.358332713445028,0.06762046,0.024017379,0.0002997372,0.19991238,0.0009991328,1.0
456000,1.4010869,861.421052631579,1.2136359,8.58166593644354,8.58166593644354,0.09027817,0.020580465,0.00029973002,0.19991,0.000999109,1.0
468000,1.4009832,951.6111111111111,1.0544899,10.891051650047302,10.891051650047302,0.08632774,0.01910097,0.00029972297,0.19990766,0.0009990857,1.0
480000,1.4002204,924.3846153846154,1.0603814,9.166665797432264,9.166665797432264,0.06332997,0.018117609,0.0002997158,0.19990528,0.0009990622,1.0
492000,1.4006238,732.7,1.0943229,7.119999386370182,7.119999386370182,0.068453126,0.018195987,0.00029970866,0.19990288,0.0009990385,1.0
504000,1.401302,755.3125,1.1386774,8.875881552696228,8.875881552696228,0.08107666,0.014753855,0.00029970158,0.19990052,0.0009990152,1.0
516000,1.4009396,834.8823529411765,1.1822699,10.492630673082251,10.492630673082251,0.080768,0.018019289,0.0002996945,0.19989817,0.0009989919,1.0
528000,1.4005516,846.5555555555555,1.0610592,8.99624921567738,8.99624921567738,0.06921749,0.015166453,0.0002996868,0.1998956,0.0009989665,1.0
540000,1.4007179,871.0,1.0533745,8.908570655754634,8.908570655754634,0.064561605,0.019904537,0.00029967912,0.19989304,0.0009989411,1.0
552000,1.4006386,860.0526315789474,1.1203713,8.96785633478846,8.96785633478846,0.060932234,0.020661898,0.00029967198,0.19989066,0.0009989175,1.0
564000,1.4003127,923.6666666666666,1.1353694,10.98529317449121,10.98529317449121,0.09406639,0.019364163,0.0002996649,0.19988829,0.0009988942,1.0
576000,1.4007881,832.1764705882352,1.1525643,10.178946479370719,10.178946479370719,0.07561774,0.018176684,0.0002996578,0.19988592,0.0009988708,1.0
