Steps,Policy/Entropy,Environment/Episode Length,Policy/Extrinsic Value Estimate,Environment/Cumulative Reward,Policy/Extrinsic Reward,Losses/Value Loss,Losses/Policy Loss,Policy/Learning Rate,Policy/Epsilon,Policy/Beta,Is Training
12000,1.4185141,24.83809523809524,-0.24161913,-0.7034912640763042,-0.7034912640763042,0.35105303,0.014826678,0.0002999963,0.19999875,0.0009999878,1.0
24000,1.4156518,37.69921875,-0.5546667,-0.6023165936290528,-0.6023165936290528,0.13627969,0.014751097,0.000299989,0.19999635,0.0009999638,1.0
36000,1.4130898,46.60392156862745,-0.528422,-0.5841796767344931,-0.5841796767344931,0.11516192,0.02108385,0.00029998174,0.1999939,0.0009999397,1.0
48000,1.4113839,61.52970297029703,-0.4446796,-0.44402984670590406,-0.44402984670590406,0.116661735,0.017436882,0.00029997528,0.19999176,0.0009999183,1.0
60000,1.4078184,70.8740157480315,-0.27992487,-0.1966911711565712,-0.1966911711565712,0.14278911,0.022374246,0.00029996719,0.19998907,0.0009998918,1.0
72000,1.4041926,110.16666666666667,0.21384406,0.10125000402331352,0.10125000402331352,0.1369948,0.019485785,0.00029996005,0.19998667,0.000999868,1.0
84000,1.4026761,195.96296296296296,0.4727686,1.011111104377994,1.011111104377994,0.14355256,0.01304779,0.00029995284,0.19998428,0.0009998444,1.0
96000,1.4018638,196.5625,0.67586124,1.1999999845729155,1.1999999845729155,0.13162518,0.015440151,0.0002999458,0.19998193,0.0009998211,1.0
108000,1.4005369,343.25,0.7909956,2.9749999145666757,2.9749999145666757,0.10210345,0.021589166,0.00029993884,0.1999796,0.0009997982,1.0
120000,1.3999491,472.0833333333333,0.87489086,4.529166594147682,4.529166594147682,0.13436621,0.012567647,0.00029993182,0.19997728,0.0009997751,1.0
132000,1.3995903,525.0,0.97863674,3.7699999675154685,3.7699999675154685,0.108461194,0.022907998,0.00029992437,0.19997478,0.0009997503,1.0
144000,1.3987204,833.2857142857143,1.0545572,9.46666650267111,9.46666650267111,0.09497104,0.017657908,0.00029991672,0.19997223,0.0009997252,1.0
156000,1.3982997,913.1111111111111,1.0460188,10.446296136688304,10.446296136688304,0.12125984,0.019950831,0.0002999098,0.19996993,0.0009997023,1.0
168000,1.3973386,711.2631578947369,1.0197916,9.36249987743795,9.36249987743795,0.08214095,0.01485801,0.00029990284,0.19996762,0.0009996793,1.0
180000,1.3968076,800.8125,1.1117002,10.458823267151327,10.458823267151327,0.09344223,0.021782106,0.0002998958,0.19996528,0.000999656,1.0
192000,1.3972341,809.3333333333334,1.1709473,10.174999760091305,10.174999760091305,0.10046266,0.01400736,0.00029988826,0.19996275,0.0009996312,1.0
204000,1.3972832,609.0,1.1734284,5.922222127517064,5.922222127517064,0.09381322,0.01699112,0.00029988072,0.19996025,0.0009996063,1.0
216000,1.3976495,918.6,1.2577083,14.07999986410141,14.07999986410141,0.032705992,0.016603159,0.00029987362,0.19995789,0.000999583,1.0
228000,1.3981003,763.5555555555555,1.2673894,10.21363613280383,10.21363613280383,0.059490025,0.013273939,0.0002998666,0.19995552,0.0009995598,1.0
240000,1.3984936,740.8947368421053,1.2309959,8.510714164802007,8.510714164802007,0.1123397,0.014563928,0.0002998596,0.1999532,0.0009995367,1.0
252000,1.3982282,791.1666666666666,1.2347182,11.655262981590472,11.655262981590472,0.06385467,0.019974343,0.0002998527,0.19995089,0.0009995138,1.0
264000,1.3979759,846.5,1.2442522,11.358695468176967,11.358695468176967,0.060823962,0.015712436,0.0002998457,0.19994856,0.0009994908,1.0
276000,1.3986576,942.6363636363636,1.2975318,13.729166448116302,13.729166448116302,0.041067015,0.013054236,0.00029983805,0.19994602,0.0009994655,1.0
288000,1.3987684,740.0,1.2474011,10.545652003391929,10.545652003391929,0.09908477,0.019384481,0.00029983043,0.1999435,0.0009994406,1.0
300000,1.3983536,825.9333333333333,1.2722055,11.899999811099125,11.899999811099125,0.05044447,0.014495723,0.00029982344,0.19994116,0.0009994173,1.0
312000,1.3978803,770.625,1.3228803,8.724999904632568,8.724999904632568,0.04829177,0.013996583,0.00029981637,0.19993879,0.000999394,1.0
324000,1.3978359,856.3076923076923,1.3626357,11.966666642824809,11.966666642824809,0.044295136,0.018999452,0.00029980924,0.1999364,0.0009993705,1.0
336000,1.3978696,999.0,1.3833827,13.941666424274445,13.941666424274445,0.035464454,0.020408124,0.00029980214,0.19993405,0.000999347,1.0
348000,1.3975232,916.9375,1.3606918,13.574999891221523,13.574999891221523,0.04556482,0.014119148,0.00029979495,0.19993167,0.0009993234,1.0
360000,1.3976707,876.3684210526316,1.3781881,12.805882264586057,12.805882264586057,0.032154586,0.013267454,0.00029978788,0.1999293,0.0009993002,1.0
372000,1.3981357,639.5294117647059,1.3680692,9.789999961853027,9.789999961853027,0.03862317,0.011637818,0.00029978086,0.19992696,0.0009992769,1.0
384000,1.3977195,912.5625,1.3622847,11.244444386826622,11.244444386826622,0.057951923,0.019615201,0.00029977327,0.19992444,0.0009992518,1.0
396000,1.3970432,893.2,1.391539,13.149999920059653,13.149999920059653,0.030796843,0.017226491,0.00029976558,0.19992185,0.0009992264,1.0
408000,1.3964175,714.7777777777778,1.4051644,10.288235264665941,10.288235264665941,0.082049556,0.017395845,0.00029975842,0.19991946,0.0009992028,1.0
420000,1.3960418,853.3076923076923,1.3502252,11.760714224406652,11.760714224406652,0.07893721,0.011227421,0.00029975144,0.19991714,0.0009991798,1.0
432000,1.3967406,651.25,1.3467593,10.34090906381607,10.34090906381607,0.07021036,0.019132307,0.00029974442,0.1999148,0.0009991565,1.0
444000,1.397256,880.8571428571429,1.3659304,11.146428504160472,11.146428504160472,0.064361714,0.02462229,0.00029973735,0.19991243,0.0009991332,1.0
456000,1.3966883,844.6470588235294,1.3684525,11.46538459796172,11.46538459796172,0.046467736,0.016514845,0.00029973025,0.19991009,0.0009991097,1.0
468000,1.3963394,767.0714285714286,1.4191132,12.811764664509717,12.811764664509717,0.058765847,0.012995276,0.0002997232,0.19990772,0.0009990864,1.0
480000,1.396604,881.7272727272727,1.3798925,11.254166642824808,11.254166642824808,0.032604974,0.016089415,0.00029971616,0.1999054,0.0009990634,1.0
492000,1.3974711,827.45,1.4320636,12.938235244330238,12.938235244330238,0.029624581,0.017198421,0.00029970842,0.1999028,0.0009990378,1.0
504000,1.3981348,895.0,1.4447572,11.956666668256124,11.956666668256124,0.07148333,0.021650672,0.0002997008,0.19990027,0.0009990125,1.0
516000,1.3970985,714.75,1.4016701,9.883333319425583,9.883333319425583,0.048588067,0.017234534,0.00029969375,0.19989793,0.0009989893,1.0
528000,1.3958421,730.3529411764706,1.3340995,10.702777783075968,10.702777783075968,0.05004173,0.012612142,0.00029968677,0.19989558,0.0009989663,1.0
540000,1.3953817,713.3125,1.4035879,9.756666628519694,9.756666628519694,0.05107372,0.011142404,0.00029967976,0.19989325,0.0009989432,1.0
