Steps,Policy/Entropy,Environment/Episode Length,Policy/Extrinsic Value Estimate,Environment/Cumulative Reward,Policy/Extrinsic Reward,Losses/Value Loss,Losses/Policy Loss,Policy/Learning Rate,Policy/Epsilon,Policy/Beta,Is Training
12000,1.4181758,44.0,0.19969502,1.0239583565077435,1.0239583565077435,0.37895027,0.016415508,0.00029999609,0.19999869,0.0009999871,1.0
24000,1.4160752,108.12941176470588,1.0868981,2.230927856619825,2.230927856619825,0.4045772,0.012660511,0.0002999891,0.19999637,0.0009999641,1.0
36000,1.4155991,399.2352941176471,1.530358,14.33529415551354,14.33529415551354,0.48684594,0.012279316,0.00029998244,0.19999413,0.000999942,1.0
48000,1.4162437,638.7142857142857,1.961945,15.605263192402688,15.605263192402688,0.32800844,0.021577017,0.00029997507,0.19999169,0.0009999179,1.0
60000,1.4168562,595.15,2.1733027,19.913043544992156,19.913043544992156,0.4802728,0.019485125,0.00029996777,0.19998924,0.0009998935,1.0
72000,1.4174569,589.8421052631579,2.3424077,16.19000002667308,16.19000002667308,1.0040071,0.01698497,0.00029996052,0.19998682,0.0009998697,1.0
84000,1.4167855,659.2380952380952,1.9468497,13.038095286914281,13.038095286914281,1.0479543,0.017931942,0.00029995345,0.19998448,0.0009998464,1.0
96000,1.4172895,802.3636363636364,2.0019898,24.408333366115887,24.408333366115887,0.2603049,0.019584386,0.00029994617,0.19998205,0.0009998224,1.0
108000,1.4172193,832.9411764705883,2.3404608,23.000000089845237,23.000000089845237,0.2674788,0.017795907,0.00029993887,0.19997962,0.0009997982,1.0
120000,1.4174293,769.7333333333333,2.5779943,21.30714290695531,21.30714290695531,0.22547089,0.012590087,0.00029993153,0.19997717,0.0009997741,1.0
132000,1.4178231,979.5384615384615,2.5422254,29.230769317883713,29.230769317883713,0.24870203,0.01760283,0.00029992405,0.19997467,0.0009997494,1.0
144000,1.4183489,885.0833333333334,2.2967932,26.669230850843284,26.669230850843284,0.57098067,0.016744731,0.00029991704,0.19997235,0.0009997262,1.0
156000,1.4188037,906.6153846153846,2.4841533,22.9363636279648,22.9363636279648,0.21083972,0.018780466,0.0002999099,0.19996998,0.0009997027,1.0
168000,1.418556,858.1333333333333,2.5484254,25.875000026077032,25.875000026077032,0.4818964,0.017174458,0.0002999029,0.19996762,0.0009996796,1.0
180000,1.4184403,852.5714285714286,2.380363,19.5866667419672,19.5866667419672,0.7366446,0.015908392,0.00029989588,0.19996528,0.0009996565,1.0
192000,1.4184448,927.5714285714286,2.5862265,27.1363637176427,27.1363637176427,0.18367882,0.020208219,0.00029988843,0.19996281,0.000999632,1.0
204000,1.4182196,964.8181818181819,2.6565979,26.246153909426468,26.246153909426468,0.08653078,0.012295651,0.00029988142,0.19996047,0.0009996085,1.0
216000,1.4181656,999.0,2.7361336,29.90000009536743,29.90000009536743,0.09824177,0.017512014,0.00029987423,0.19995809,0.0009995849,1.0
228000,1.418526,904.0714285714286,2.7125237,24.953846220786755,24.953846220786755,0.14208834,0.017956104,0.00029986716,0.19995572,0.0009995616,1.0
240000,1.4182605,862.8571428571429,2.8797276,25.442857222897665,25.442857222897665,0.1421542,0.018217457,0.0002998597,0.19995324,0.0009995371,1.0
252000,1.4172441,895.3846153846154,2.8565283,23.128571477319515,23.128571477319515,0.56743306,0.016214151,0.00029985237,0.1999508,0.0009995127,1.0
