Steps,Policy/Entropy,Environment/Episode Length,Policy/Extrinsic Value Estimate,Environment/Cumulative Reward,Policy/Extrinsic Reward,Losses/Value Loss,Losses/Policy Loss,Policy/Learning Rate,Policy/Epsilon,Policy/Beta,Is Training
12000,1.4186467,26.033573141486812,-0.2840208,-0.8209774607703799,-0.8209774607703799,0.32346153,0.016173497,0.0002999964,0.19999878,0.0009999882,1.0
24000,1.4172194,34.98986486486486,-0.7196237,-0.830536934453369,-0.830536934453369,0.09715667,0.01455801,0.00029998954,0.1999965,0.0009999655,1.0
36000,1.4150467,41.196666666666665,-0.6947574,-0.8363666892858843,-0.8363666892858843,0.06023009,0.012143411,0.00029998203,0.19999401,0.0009999408,1.0
48000,1.4121981,48.614107883817425,-0.62857366,-0.7410788620856912,-0.7410788620856912,0.081018075,0.022200674,0.00029997504,0.19999169,0.0009999176,1.0
60000,1.4088007,58.31972789115646,-0.47009572,-0.6373026576873503,-0.6373026576873503,0.10475931,0.01551408,0.0002999675,0.19998915,0.0009998928,1.0
72000,1.4059975,96.9620253164557,-0.24867724,-0.4528916100242052,-0.4528916100242052,0.12206437,0.016320689,0.0002999601,0.1999867,0.0009998683,1.0
84000,1.4043812,127.0,-0.008866691,-0.35975006129592657,-0.35975006129592657,0.10955502,0.0153185725,0.00029995336,0.19998445,0.000999846,1.0
96000,1.4027039,243.5,0.107578024,0.45874985978007315,0.45874985978007315,0.13951734,0.012835734,0.00029994614,0.19998203,0.0009998222,1.0
108000,1.4014208,269.3157894736842,0.3326917,0.5004760497914893,0.5004760497914893,0.11594707,0.01481088,0.0002999388,0.19997959,0.0009997983,1.0
120000,1.3998827,384.4375,0.46137375,1.5333331316709518,1.5333331316709518,0.106461406,0.01593742,0.00029993153,0.19997716,0.000999774,1.0
132000,1.3982128,363.0,0.5906311,1.9224998131394386,1.9224998131394386,0.100246675,0.014306524,0.00029992475,0.19997491,0.0009997516,1.0
144000,1.3971078,562.0,0.59720516,2.6545451992953364,2.6545451992953364,0.1108535,0.011521374,0.00029991736,0.19997247,0.0009997272,1.0
156000,1.3967487,688.9375,0.621101,4.123332953597936,4.123332953597936,0.09056572,0.011771947,0.00029990982,0.19996995,0.0009997025,1.0
168000,1.3952589,855.1851851851852,0.80352044,8.006086382448025,8.006086382448025,0.06878973,0.017202968,0.00029990284,0.19996761,0.0009996793,1.0
