Steps,Policy/Entropy,Environment/Episode Length,Policy/Extrinsic Value Estimate,Environment/Cumulative Reward,Policy/Extrinsic Reward,Losses/Value Loss,Losses/Policy Loss,Policy/Learning Rate,Policy/Epsilon,Policy/Beta,Is Training
12000,1.4182538,26.32125603864734,-0.41747883,-0.6951898654050465,-0.6951898654050465,0.19775116,0.017275322,0.0002999959,0.19999865,0.0009999865,1.0
24000,1.4166131,33.722044728434504,-0.62848455,-0.6683120920328768,-0.6683120920328768,0.10458452,0.014739124,0.0002999889,0.19999631,0.0009999634,1.0
36000,1.4151976,43.38666666666666,-0.5905193,-0.6493310956253255,-0.6493310956253255,0.10695457,0.014151469,0.00029998197,0.199994,0.0009999406,1.0
48000,1.4129765,48.592274678111586,-0.5066109,-0.46386553707117795,-0.46386553707117795,0.115147226,0.015136599,0.0002999751,0.1999917,0.0009999179,1.0
60000,1.4092859,70.59633027522936,-0.15576759,-0.24094826548263945,-0.24094826548263945,0.16157362,0.022454696,0.00029996724,0.19998908,0.0009998919,1.0
72000,1.4046437,115.67123287671232,0.044769973,0.43698630446236425,0.43698630446236425,0.1327804,0.014095182,0.00029996052,0.19998685,0.0009998698,1.0
84000,1.4008846,131.34285714285716,0.38412565,0.44487179013398975,0.44487179013398975,0.14545129,0.015402928,0.00029995365,0.19998454,0.0009998468,1.0
96000,1.3987553,209.53846153846155,0.6872359,1.67758617524443,1.67758617524443,0.17862941,0.016911287,0.00029994638,0.19998214,0.0009998231,1.0
108000,1.3964803,292.0,0.7684895,2.424999948590994,2.424999948590994,0.1570296,0.016383687,0.0002999387,0.19997956,0.0009997977,1.0
120000,1.3946519,463.1111111111111,0.86126447,3.871428479041372,3.871428479041372,0.124869965,0.021428125,0.0002999314,0.19997714,0.0009997736,1.0
132000,1.3935163,405.75,1.0322696,4.004545385187322,4.004545385187322,0.15509088,0.01996608,0.00029992458,0.19997485,0.000999751,1.0
144000,1.3928791,635.2777777777778,1.0579617,7.096666538715363,7.096666538715363,0.10921232,0.01935276,0.0002999171,0.19997238,0.0009997265,1.0
156000,1.3918908,848.4,1.1159874,10.03571413883141,10.03571413883141,0.13063489,0.016712682,0.00029990965,0.19996987,0.0009997018,1.0
168000,1.391424,871.5,1.1574074,11.581249879362682,11.581249879362682,0.09274336,0.017100079,0.0002999027,0.19996756,0.0009996787,1.0
