Steps,Policy/Entropy,Environment/Episode Length,Policy/Extrinsic Value Estimate,Environment/Cumulative Reward,Policy/Extrinsic Reward,Losses/Value Loss,Losses/Policy Loss,Policy/Learning Rate,Policy/Epsilon,Policy/Beta,Is Training
12000,1.4184434,24.176724137931036,-0.12618469,-0.7068693619053643,-0.7068693619053643,0.47641546,0.013136517,0.0002999961,0.19999869,0.0009999871,1.0
24000,1.4176316,30.696022727272727,-0.60903364,-0.6699152456038753,-0.6699152456038753,0.11050625,0.016833575,0.00029998884,0.19999626,0.0009999631,1.0
36000,1.416542,37.490625,-0.6267429,-0.6304687423631549,-0.6304687423631549,0.087984845,0.011315388,0.0002999819,0.19999397,0.0009999403,1.0
48000,1.4150333,34.62323943661972,-0.55477464,-0.619930063745567,-0.619930063745567,0.11688248,0.016740337,0.00029997475,0.19999158,0.0009999167,1.0
60000,1.412894,58.49305555555556,-0.34770432,-0.5248365950545454,-0.5248365950545454,0.16957352,0.017709669,0.00029996719,0.19998907,0.0009998917,1.0
72000,1.4091952,89.71428571428571,0.17977984,-0.26226414922835695,-0.26226414922835695,0.19373266,0.013544233,0.0002999606,0.19998686,0.0009998701,1.0
84000,1.4067706,171.36111111111111,0.65706015,0.8081080828969543,0.8081080828969543,0.2142055,0.014754691,0.00029995368,0.19998458,0.0009998472,1.0
96000,1.404845,279.2352941176471,0.8310986,2.3196969497384448,2.3196969497384448,0.21387856,0.015713675,0.00029994646,0.19998217,0.0009998233,1.0
108000,1.4034057,378.85714285714283,0.8718573,2.8749999701976776,2.8749999701976776,0.18335514,0.013571912,0.00029993904,0.1999797,0.0009997989,1.0
120000,1.4026995,239.33333333333334,1.0836784,2.169999973475933,2.169999973475933,0.14730461,0.017295336,0.0002999313,0.19997708,0.0009997733,1.0
132000,1.4022664,445.42105263157896,1.1718267,4.736842095851898,4.736842095851898,0.18637162,0.016261663,0.00029992417,0.19997473,0.00099975,1.0
144000,1.4024746,576.4,1.1619176,8.663888898988565,8.663888898988565,0.10446966,0.01485197,0.00029991742,0.19997247,0.0009997274,1.0
156000,1.4022561,679.9047619047619,1.1177591,7.761363622817126,7.761363622817126,0.18947996,0.018613,0.00029991026,0.19997005,0.0009997039,1.0
168000,1.4020364,751.4666666666667,1.1887351,10.373333333929379,10.373333333929379,0.11871252,0.018209403,0.00029990275,0.19996758,0.000999679,1.0
180000,1.4015628,641.0384615384615,1.3466134,8.919999967813492,8.919999967813492,0.13353351,0.015202398,0.00029989585,0.19996528,0.0009996562,1.0
192000,1.4013206,783.2272727272727,1.3285469,10.64545451375571,10.64545451375571,0.12770034,0.017293219,0.00029988846,0.19996282,0.000999632,1.0
204000,1.4003837,472.5,1.3960645,10.883333312140572,10.883333312140572,0.08679364,0.016762264,0.00029988098,0.1999603,0.0009996073,1.0
216000,1.3993604,624.5833333333334,1.4714515,8.149999997019767,8.149999997019767,0.08523501,0.020697894,0.0002998739,0.19995797,0.000999584,1.0
228000,1.3988265,504.6666666666667,1.4177629,8.049999995364082,8.049999995364082,0.12648146,0.01689601,0.00029986692,0.19995564,0.0009995608,1.0
240000,1.3985993,658.5833333333334,1.3058158,8.982142865657806,8.982142865657806,0.11699287,0.014678674,0.00029985956,0.1999532,0.0009995367,1.0
252000,1.3986721,656.8125,1.2873589,8.891071421759468,8.891071421759468,0.13345315,0.02022806,0.0002998522,0.19995071,0.0009995123,1.0
264000,1.399213,836.1333333333333,1.3696039,11.892105237433785,11.892105237433785,0.075580075,0.016707325,0.00029984547,0.19994847,0.0009994899,1.0
276000,1.3987968,582.6190476190476,1.3696092,7.844117592362797,7.844117592362797,0.120766506,0.014624133,0.00029983796,0.199946,0.0009994652,1.0
288000,1.3981707,808.0,1.4871973,12.986111117733849,12.986111117733849,0.06527687,0.016683219,0.00029983046,0.19994348,0.0009994406,1.0
300000,1.3979472,918.4545454545455,1.3947695,12.896153812225048,12.896153812225048,0.087778084,0.019687979,0.00029982332,0.19994111,0.000999417,1.0
312000,1.3980216,768.0833333333334,1.5299973,11.8099999666214,11.8099999666214,0.0686176,0.024052033,0.00029981625,0.19993873,0.0009993935,1.0
324000,1.3979187,906.3076923076923,1.4627997,12.4346153988288,12.4346153988288,0.16524582,0.020100897,0.00029980918,0.19993639,0.0009993704,1.0
336000,1.3975319,902.9166666666666,1.526171,14.196428593780313,14.196428593780313,0.0897589,0.014697737,0.00029980217,0.19993405,0.000999347,1.0
348000,1.396519,698.2631578947369,1.5936602,10.538461451347057,10.538461451347057,0.10062241,0.017411815,0.0002997951,0.19993168,0.0009993239,1.0
360000,1.3959882,736.2352941176471,1.5811394,11.857142848627907,11.857142848627907,0.1125836,0.021484332,0.00029978759,0.19992921,0.000999299,1.0
372000,1.3956797,669.7857142857143,1.4803419,11.139285773038864,11.139285773038864,0.072629735,0.019274272,0.00029978005,0.19992666,0.0009992741,1.0
384000,1.3953168,724.0,1.5177668,11.587500038246313,11.587500038246313,0.079425186,0.015872568,0.00029977298,0.19992433,0.0009992508,1.0
396000,1.3950186,887.8666666666667,1.4791778,14.01764709108016,14.01764709108016,0.06946132,0.015179693,0.000299766,0.19992201,0.0009992276,1.0
408000,1.3949131,758.4615384615385,1.5122006,10.245454566045241,10.245454566045241,0.08520025,0.015621856,0.0002997589,0.19991963,0.0009992045,1.0
420000,1.3946794,990.8888888888889,1.4109088,15.774999951322874,15.774999951322874,0.04307406,0.017371075,0.00029975187,0.19991727,0.0009991811,1.0
432000,1.3940076,897.1538461538462,1.5286863,13.676923045745262,13.676923045745262,0.07987264,0.01873787,0.00029974477,0.19991493,0.0009991578,1.0
444000,1.3948319,851.0,1.5904508,12.73999997973442,12.73999997973442,0.052165132,0.021464178,0.00029973767,0.19991255,0.0009991344,1.0
456000,1.3956894,773.0,1.6063656,12.59047619217918,12.59047619217918,0.08631579,0.017280202,0.00029973002,0.19991001,0.000999109,1.0
468000,1.395706,917.5833333333334,1.5377451,14.421428599527903,14.421428599527903,0.06376212,0.020600492,0.00029972236,0.19990747,0.0009990839,1.0
480000,1.3958895,863.2727272727273,1.632182,13.231249950826168,13.231249950826168,0.04911619,0.015270974,0.0002997152,0.19990508,0.0009990603,1.0
492000,1.3954839,999.0,1.6082568,16.350000083446503,16.350000083446503,0.03126312,0.022265745,0.00029970807,0.1999027,0.0009990366,1.0
