Steps,Policy/Entropy,Environment/Episode Length,Policy/Extrinsic Value Estimate,Environment/Cumulative Reward,Policy/Extrinsic Reward,Losses/Value Loss,Losses/Policy Loss,Policy/Learning Rate,Policy/Epsilon,Policy/Beta,Is Training
12000,1.4182538,23.284552845528456,-0.3696612,-0.7103813467389446,-0.7103813467389446,0.24348986,0.013327478,0.0002999962,0.19999874,0.0009999875,1.0
24000,1.4165652,28.044736842105262,-0.6141021,-0.6746719077503275,-0.6746719077503275,0.08545547,0.014813173,0.00029998904,0.19999637,0.000999964,1.0
36000,1.4142325,33.85923753665689,-0.64030397,-0.6602941066026687,-0.6602941066026687,0.089939795,0.015935361,0.00029998194,0.19999397,0.0009999403,1.0
48000,1.4129319,36.22018348623853,-0.6341745,-0.644072940782573,-0.644072940782573,0.07649763,0.02016667,0.00029997496,0.19999166,0.0009999174,1.0
60000,1.4107546,41.930131004366814,-0.52216506,-0.5787553564353562,-0.5787553564353562,0.107108176,0.012096292,0.00029996777,0.19998926,0.0009998938,1.0
72000,1.408275,72.078125,-0.33260268,-0.37499999118153937,-0.37499999118153937,0.09865894,0.017142914,0.00029996,0.19998665,0.000999868,1.0
84000,1.4051431,95.50877192982456,-0.00440297,-0.2820895400954716,-0.2820895400954716,0.12762664,0.01618949,0.00029995356,0.19998452,0.0009998467,1.0
96000,1.4014921,157.3,0.45747602,0.562903219653714,0.562903219653714,0.12395636,0.020020222,0.0002999462,0.19998206,0.0009998224,1.0
108000,1.3996948,258.54545454545456,0.668666,1.1304347566936328,1.1304347566936328,0.1478358,0.016603876,0.00029993875,0.19997959,0.0009997978,1.0
120000,1.3983622,364.6923076923077,0.8572878,2.5192307371359606,2.5192307371359606,0.12908342,0.017331457,0.00029993142,0.19997716,0.0009997739,1.0
132000,1.3962334,485.3529411764706,0.9156201,4.621428471058607,4.621428471058607,0.18916579,0.021415122,0.0002999246,0.19997488,0.0009997512,1.0
144000,1.393797,516.3076923076923,0.92983055,5.055882265900864,5.055882265900864,0.14358613,0.014707299,0.00029991724,0.19997242,0.0009997269,1.0
156000,1.3920271,791.375,1.0982101,7.715384624325312,7.715384624325312,0.06380645,0.012984437,0.00029990982,0.19996993,0.0009997023,1.0
168000,1.3913292,870.7272727272727,1.2512197,9.953571319580078,9.953571319580078,0.08323284,0.019885687,0.0002999028,0.19996761,0.0009996793,1.0
180000,1.3905077,811.3888888888889,1.2275835,10.313888731102148,10.313888731102148,0.08098329,0.016474517,0.00029989576,0.19996525,0.000999656,1.0
192000,1.3900015,702.8125,1.2315494,9.184374835342169,9.184374835342169,0.07878869,0.019380752,0.00029988872,0.19996291,0.0009996328,1.0
204000,1.3896048,852.4545454545455,1.2669427,11.359999719262124,11.359999719262124,0.0934714,0.017369336,0.00029988168,0.19996054,0.0009996095,1.0
216000,1.388282,518.6842105263158,1.1967815,8.021052534642973,8.021052534642973,0.109225735,0.011839324,0.00029987417,0.19995806,0.0009995848,1.0
228000,1.3868625,694.2941176470588,1.1450254,8.368420955381895,8.368420955381895,0.07063133,0.012302174,0.0002998667,0.19995557,0.0009995601,1.0
240000,1.386311,668.8125,1.2368562,9.623333160082499,9.623333160082499,0.08963648,0.018796265,0.0002998598,0.19995324,0.0009995372,1.0
252000,1.3857573,795.9333333333333,1.2698328,9.688461532959572,9.688461532959572,0.08244023,0.012866013,0.0002998528,0.19995093,0.0009995144,1.0
264000,1.3854189,733.9444444444445,1.255332,10.219444380866157,10.219444380866157,0.08153884,0.018972013,0.0002998453,0.19994843,0.0009994894,1.0
276000,1.3843787,737.9230769230769,1.28371,10.193333196640015,10.193333196640015,0.0684272,0.019761218,0.0002998377,0.19994591,0.0009994644,1.0
288000,1.3832866,647.2352941176471,1.2876644,9.080555415815777,9.080555415815777,0.0675996,0.01882572,0.00029983086,0.19994362,0.000999442,1.0
300000,1.3838198,860.0,1.3403549,12.568749831989408,12.568749831989408,0.04335794,0.017421192,0.00029982385,0.19994128,0.0009994187,1.0
312000,1.3842411,692.2105263157895,1.2815504,9.754545335065234,9.754545335065234,0.09293399,0.01595737,0.00029981628,0.19993876,0.0009993939,1.0
324000,1.3839085,938.0,1.3158256,12.316666543483734,12.316666543483734,0.034303196,0.020474743,0.00029980871,0.19993623,0.0009993688,1.0
336000,1.383235,773.5384615384615,1.3964127,11.104999977350236,11.104999977350236,0.050472777,0.016826058,0.0002998016,0.19993387,0.0009993453,1.0
348000,1.3830515,849.6428571428571,1.3769335,11.96111105548011,11.96111105548011,0.05526681,0.020381635,0.0002997945,0.1999315,0.0009993219,1.0
360000,1.3844949,769.4705882352941,1.3657236,11.271428499902997,11.271428499902997,0.04161109,0.013510992,0.0002997875,0.19992916,0.0009992988,1.0
372000,1.3850104,682.9375,1.2937223,9.518749948590994,9.518749948590994,0.06936797,0.012982088,0.0002997806,0.19992685,0.000999276,1.0
384000,1.3843396,985.6470588235294,1.3952688,13.427777684397167,13.427777684397167,0.032288074,0.016752422,0.00029977353,0.19992451,0.0009992527,1.0
396000,1.3846209,730.8181818181819,1.2625183,11.261538427609663,11.261538427609663,0.07729202,0.019379247,0.00029976646,0.19992213,0.0009992291,1.0
408000,1.3846678,775.28,1.3413056,10.318181747739965,10.318181747739965,0.08361099,0.016093004,0.0002997589,0.19991963,0.0009992042,1.0
420000,1.384136,788.1,1.2939845,12.228571380887713,12.228571380887713,0.04611592,0.0132621005,0.00029975123,0.19991708,0.0009991791,1.0
432000,1.3825028,923.4285714285714,1.4140189,13.149999940395356,13.149999940395356,0.025771206,0.024157887,0.0002997441,0.1999147,0.0009991556,1.0
444000,1.3825164,756.85,1.3401998,11.214705833617378,11.214705833617378,0.102484845,0.018331813,0.0002997371,0.19991235,0.0009991323,1.0
456000,1.3825504,877.4666666666667,1.3213273,11.16562494263053,11.16562494263053,0.046050463,0.013713212,0.00029973016,0.19991004,0.0009991095,1.0
468000,1.3823081,713.8,1.3346242,10.552272709933193,10.552272709933193,0.042790573,0.016051142,0.00029972315,0.1999077,0.0009990864,1.0
480000,1.3817241,637.6153846153846,1.3788388,9.911538449617533,9.911538449617533,0.072811715,0.010091065,0.0002997156,0.1999052,0.0009990615,1.0
492000,1.3808274,780.1052631578947,1.2990673,10.489999953905741,10.489999953905741,0.08145211,0.022501685,0.00029970807,0.19990267,0.0009990366,1.0
504000,1.380182,752.16,1.2670918,11.327083316942057,11.327083316942057,0.10111109,0.020011595,0.00029970115,0.19990039,0.0009990139,1.0
516000,1.3803455,561.2727272727273,1.2026994,7.3666666812366906,7.3666666812366906,0.10749394,0.013958527,0.00029969387,0.19989796,0.0009989898,1.0
528000,1.3810292,787.4444444444445,1.3158697,13.378571408135551,13.378571408135551,0.037330694,0.02305963,0.00029968636,0.19989546,0.000998965,1.0
540000,1.3807757,760.1111111111111,1.3978645,9.929999953508377,9.929999953508377,0.061006356,0.012597273,0.0002996793,0.19989307,0.0009989416,1.0
552000,1.3806207,814.0666666666667,1.3699296,11.290624998509884,11.290624998509884,0.054965664,0.02082844,0.00029967228,0.19989078,0.0009989185,1.0
564000,1.381198,878.0,1.4103365,12.713636349547993,12.713636349547993,0.04009402,0.017995832,0.0002996652,0.1998884,0.0009988951,1.0
576000,1.3798738,701.5714285714286,1.4376545,11.78181820566004,11.78181820566004,0.023728946,0.022085845,0.00029965813,0.19988604,0.0009988719,1.0
588000,1.3777882,888.7857142857143,1.3528836,11.856250001117587,11.856250001117587,0.057809357,0.017882137,0.00029965103,0.19988368,0.0009988485,1.0
600000,1.3769957,840.2352941176471,1.3613592,11.121874947100878,11.121874947100878,0.07555528,0.022854434,0.000299644,0.19988132,0.0009988252,1.0
612000,1.3772725,847.75,1.3359685,12.482000002861023,12.482000002861023,0.043061756,0.014260282,0.00029963636,0.1998788,0.0009988,1.0
624000,1.3773465,814.0909090909091,1.3955119,12.407142847776413,12.407142847776413,0.042241484,0.02348184,0.00029962865,0.19987623,0.0009987745,1.0
636000,1.3758912,683.7857142857143,1.4193976,10.158333351214727,10.158333351214727,0.050648887,0.019776037,0.00029962152,0.19987385,0.0009987511,1.0
648000,1.3762454,807.0555555555555,1.3666714,10.794444451729456,10.794444451729456,0.07403933,0.021113152,0.0002996145,0.1998715,0.000998728,1.0
660000,1.3771535,903.625,1.4345646,14.762499928474426,14.762499928474426,0.010323013,0.017927857,0.0002996074,0.19986911,0.0009987043,1.0
672000,1.3772094,709.75,1.4428889,11.768749952316284,11.768749952316284,0.038088243,0.01347714,0.00029960024,0.19986673,0.0009986808,1.0
684000,1.376853,958.0,1.4395431,12.591176464277154,12.591176464277154,0.047874022,0.0147304265,0.0002995931,0.19986439,0.0009986573,1.0
696000,1.3761452,780.2222222222222,1.449622,11.688888900809818,11.688888900809818,0.02280234,0.015448216,0.0002995861,0.19986205,0.000998634,1.0
708000,1.3763646,835.8947368421053,1.4170607,11.73888890610801,11.73888890610801,0.044863675,0.0142888585,0.00029957903,0.19985968,0.0009986107,1.0
720000,1.3763632,924.7142857142857,1.4411805,14.892307721651518,14.892307721651518,0.027683279,0.0110055925,0.00029957193,0.19985731,0.0009985873,1.0
732000,1.3759313,655.4,1.452296,9.500000014901161,9.500000014901161,0.038724016,0.015870752,0.00029956477,0.19985491,0.0009985636,1.0
744000,1.3755188,843.0,1.3727033,12.7615384551195,12.7615384551195,0.0659785,0.020226773,0.0002995578,0.1998526,0.0009985408,1.0
756000,1.3745621,772.0769230769231,1.4036763,10.485294135177837,10.485294135177837,0.04201951,0.015057628,0.00029955016,0.19985007,0.0009985155,1.0
768000,1.3746985,785.1666666666666,1.4335198,11.358333344260851,11.358333344260851,0.036323853,0.021839738,0.00029954256,0.19984752,0.0009984904,1.0
780000,1.3753606,790.7333333333333,1.4453284,11.67307695058676,11.67307695058676,0.02839546,0.017248731,0.00029953546,0.19984515,0.0009984671,1.0
792000,1.3758947,931.4285714285714,1.4392669,13.025000018732888,13.025000018732888,0.043382186,0.019988788,0.0002995284,0.1998428,0.0009984436,1.0
804000,1.3761545,829.3333333333334,1.4117699,12.168421067689595,12.168421067689595,0.05612832,0.018593213,0.00029952129,0.19984043,0.0009984203,1.0
816000,1.3757561,719.2,1.364702,11.57222224606408,11.57222224606408,0.03414012,0.02126732,0.00029951436,0.1998381,0.0009983974,1.0
828000,1.3755692,824.9285714285714,1.4248686,10.196153888335594,10.196153888335594,0.02888955,0.017926093,0.00029950676,0.19983557,0.0009983723,1.0
840000,1.3757728,753.6153846153846,1.4241912,11.040625002235174,11.040625002235174,0.031245327,0.018022308,0.0002994991,0.19983304,0.0009983472,1.0
852000,1.3756315,751.3125,1.4386667,11.740624994039536,11.740624994039536,0.06740754,0.015099932,0.0002994921,0.19983071,0.0009983239,1.0
864000,1.3756689,890.1111111111111,1.3765109,11.388888908757103,11.388888908757103,0.0094305035,0.024246385,0.00029948502,0.19982833,0.0009983006,1.0
